file_id,genre,original_file_name,shortened_file_name,original_duration_sec,shortened_duration_sec,original_sample_rate_hz,shortened_sample_rate_hz,original_bit_depth,shortened_bit_depth,original_channels,shortened_channels
ACTCV_01,blues,blues.00001.wav,blues.00001.wav,30.0133,2.106,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_02,blues,blues.00002.wav,blues.00002.wav,30.0133,2.585,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_03,blues,blues.00003.wav,blues.00003.wav,30.0133,2.155,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_04,blues,blues.00004.wav,blues.00004.wav,30.0133,2.428,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_05,blues,blues.00005.wav,blues.00005.wav,30.0133,2.336,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_06,blues,blues.00006.wav,blues.00006.wav,30.0133,2.102,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_07,blues,blues.00007.wav,blues.00007.wav,30.0133,2.157,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_08,blues,blues.00008.wav,blues.00008.wav,30.0133,2.843,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_09,blues,blues.00009.wav,blues.00009.wav,30.0133,2.612,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_10,blues,blues.00010.wav,blues.00010.wav,30.0133,2.424,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_11,blues,blues.00011.wav,blues.00011.wav,30.0133,2.981,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_12,blues,blues.00012.wav,blues.00012.wav,30.0133,2.795,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_13,blues,blues.00013.wav,blues.00013.wav,30.0133,2.486,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_14,blues,blues.00014.wav,blues.00014.wav,30.0133,2.819,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_15,blues,blues.00015.wav,blues.00015.wav,30.0133,2.08,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_16,blues,blues.00016.wav,blues.00016.wav,30.0133,2.655,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_17,blues,blues.00017.wav,blues.00017.wav,30.0133,2.314,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_18,blues,blues.00018.wav,blues.00018.wav,30.0133,2.408,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_19,blues,blues.00019.wav,blues.00019.wav,30.0133,2.171,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_20,blues,blues.00020.wav,blues.00020.wav,30.0133,2.22,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_21,blues,blues.00021.wav,blues.00021.wav,30.0133,2.865,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_22,blues,blues.00022.wav,blues.00022.wav,30.0133,2.847,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_23,blues,blues.00023.wav,blues.00023.wav,30.0133,2.093,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_24,blues,blues.00024.wav,blues.00024.wav,30.0133,2.148,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_25,blues,blues.00025.wav,blues.00025.wav,30.0133,2.473,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_26,blues,blues.00026.wav,blues.00026.wav,30.0133,2.663,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_27,blues,blues.00027.wav,blues.00027.wav,30.0133,2.136,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_28,blues,blues.00028.wav,blues.00028.wav,30.0133,2.831,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_29,blues,blues.00029.wav,blues.00029.wav,30.0133,2.424,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_30,blues,blues.00030.wav,blues.00030.wav,30.0133,2.08,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_31,blues,blues.00031.wav,blues.00031.wav,30.0133,2.265,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_32,blues,blues.00032.wav,blues.00032.wav,30.0133,2.245,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_33,blues,blues.00033.wav,blues.00033.wav,30.0133,2.489,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_34,blues,blues.00034.wav,blues.00034.wav,30.0133,2.467,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_35,blues,blues.00035.wav,blues.00035.wav,30.0133,2.229,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_36,blues,blues.00036.wav,blues.00036.wav,30.0133,2.54,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_37,blues,blues.00037.wav,blues.00037.wav,30.0133,2.99,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_38,blues,blues.00038.wav,blues.00038.wav,30.0133,2.705,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_39,blues,blues.00039.wav,blues.00039.wav,30.0133,2.379,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_40,blues,blues.00040.wav,blues.00040.wav,30.0133,2.121,22050,22050,16,16,1 (mono),1 (mono)
ACTCV_41,blues,blues.00041.wav,blues.00041.wav,30.0133,2.811,22050,22050,16,16,1 (mono),1 (mono)
